*** szafir SiO2 3 mkm 05-04-19	*START	Date: 2019-04-05	Time: 16:05:18
Current for R :1.000mA	Current 3-Omega5.000 mA		
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
3.590975E-4	-1.707500E-6	3.000000E-1	5.345550E-1	1.260000E+2	5.390300E+1
3.591025E-4	-1.955000E-6	2.600000E-1	5.346000E-1	1.580000E+2	5.390090E+1
3.589050E-4	-2.297500E-6	3.800000E-1	5.345850E-1	1.990000E+2	5.389940E+1
3.589850E-4	-3.315000E-6	4.900000E-1	5.346000E-1	2.510000E+2	5.390220E+1
3.587800E-4	-3.672500E-6	5.700000E-1	5.346000E-1	3.160000E+2	5.390660E+1
3.587325E-4	-4.890000E-6	7.900000E-1	5.346650E-1	3.980000E+2	5.390430E+1
3.585925E-4	-5.665000E-6	9.100000E-1	5.347000E-1	5.010000E+2	5.390140E+1
3.586225E-4	-7.097500E-6	1.180000E+0	5.347550E-1	6.310000E+2	5.390140E+1
3.584675E-4	-9.312500E-6	1.500000E+0	5.348000E-1	7.940000E+2	5.390040E+1
3.587300E-4	-1.083000E-5	1.820000E+0	5.348000E-1	1.000000E+3	5.390620E+1
3.582500E-4	-1.369750E-5	2.200000E+0	5.348850E-1	1.260000E+3	5.390200E+1
3.577200E-4	-1.722250E-5	2.670000E+0	5.349000E-1	1.580000E+3	5.389720E+1
3.569550E-4	-2.160500E-5	3.480000E+0	5.349000E-1	1.990000E+3	5.390310E+1
3.577625E-4	-3.056500E-5	4.920000E+0	5.349000E-1	2.510000E+3	5.390480E+1
3.559050E-4	-3.702000E-5	6.010000E+0	5.349000E-1	3.160000E+3	5.390730E+1
3.559175E-4	-4.609000E-5	7.310000E+0	5.348000E-1	3.980000E+3	5.390320E+1
3.566550E-4	-5.824750E-5	9.290000E+0	5.348000E-1	5.010000E+3	5.390290E+1
3.564400E-4	-7.485000E-5	1.190000E+1	5.347000E-1	6.310000E+3	5.390360E+1
3.551475E-4	-9.767250E-5	1.540000E+1	5.346000E-1	7.940000E+3	5.390040E+1
3.453600E-4	-1.269875E-4	2.016000E+1	5.344150E-1	1.000000E+4	5.390130E+1
3.299525E-4	-1.525100E-4	2.475000E+1	5.341000E-1	1.260000E+4	5.390030E+1
3.229125E-4	-1.915700E-4	3.073000E+1	5.337000E-1	1.580000E+4	5.390410E+1
2.992775E-4	-2.258425E-4	3.706000E+1	5.331000E-1	1.990000E+4	5.389820E+1
2.918350E-4	-2.390575E-4	3.935000E+1	5.328000E-1	2.200000E+4	5.390620E+1
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
 60.0000	 59.9974	 59.4874	103.8440	  2.5961	  5.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.448375E-4	2.472500E-6	-4.200000E-1	5.371650E-1	6.310000E+0	5.948020E+1
3.412650E-4	2.522500E-6	-4.800000E-1	5.426350E-1	7.940000E+0	5.948800E+1
3.481600E-4	-5.325000E-7	-3.100000E-1	5.436000E-1	1.000000E+1	5.948550E+1
3.423450E-4	-1.927500E-6	5.300000E-1	5.439700E-1	1.260000E+1	5.948220E+1
3.362775E-4	-1.915000E-6	2.480000E+0	5.440550E-1	1.580000E+1	5.948450E+1
3.390275E-4	3.675000E-7	-4.000000E-1	5.440000E-1	1.990000E+1	5.948430E+1
3.394675E-4	4.500000E-8	7.000000E-2	5.440000E-1	2.510000E+1	5.948220E+1
3.384875E-4	-3.800000E-7	1.500000E-1	5.440000E-1	3.160000E+1	5.948390E+1
3.391225E-4	-5.275000E-7	1.100000E-1	5.440500E-1	3.980000E+1	5.948370E+1
3.527675E-4	6.042500E-6	1.720000E+1	5.441700E-1	5.010000E+1	5.948450E+1
3.385425E-4	-9.250000E-7	1.600000E-1	5.440700E-1	6.310000E+1	5.948740E+1
3.383600E-4	-1.165000E-6	1.100000E-1	5.440650E-1	7.940000E+1	5.948300E+1
3.380500E-4	-1.890000E-6	5.100000E-1	5.446500E-1	1.000000E+2	5.948600E+1
3.382275E-4	-1.577500E-6	2.400000E-1	5.441000E-1	1.260000E+2	5.948460E+1
3.381825E-4	-2.010000E-6	3.300000E-1	5.441000E-1	1.580000E+2	5.948270E+1
3.381600E-4	-2.477500E-6	4.100000E-1	5.441000E-1	1.990000E+2	5.948490E+1
3.381700E-4	-3.085000E-6	5.300000E-1	5.441000E-1	2.510000E+2	5.948770E+1
3.380775E-4	-3.697500E-6	6.400000E-1	5.441450E-1	3.160000E+2	5.948670E+1
3.379300E-4	-4.550000E-6	7.500000E-1	5.442000E-1	3.980000E+2	5.948820E+1
3.380275E-4	-5.552500E-6	9.200000E-1	5.442000E-1	5.010000E+2	5.948570E+1
3.378000E-4	-6.825000E-6	1.120000E+0	5.443000E-1	6.310000E+2	5.948750E+1
3.376875E-4	-8.457500E-6	1.410000E+0	5.443000E-1	7.940000E+2	5.948500E+1
3.371800E-4	-1.043500E-5	1.880000E+0	5.443000E-1	1.000000E+3	5.948310E+1
3.373375E-4	-1.309500E-5	2.180000E+0	5.443500E-1	1.260000E+3	5.948060E+1
3.369375E-4	-1.622250E-5	2.740000E+0	5.444000E-1	1.580000E+3	5.948660E+1
3.363950E-4	-2.045500E-5	3.500000E+0	5.444000E-1	1.990000E+3	5.948460E+1
3.372750E-4	-2.908500E-5	4.940000E+0	5.444000E-1	2.510000E+3	5.948310E+1
3.353175E-4	-3.515750E-5	5.860000E+0	5.444750E-1	3.160000E+3	5.948440E+1
3.354175E-4	-4.346250E-5	7.460000E+0	5.443000E-1	3.980000E+3	5.948570E+1
3.362350E-4	-5.507500E-5	9.340000E+0	5.443000E-1	5.010000E+3	5.948480E+1
3.363900E-4	-7.070250E-5	1.184000E+1	5.442000E-1	6.310000E+3	5.948490E+1
3.351850E-4	-9.263750E-5	1.551000E+1	5.441000E-1	7.940000E+3	5.948430E+1
3.292025E-4	-1.162350E-4	1.956000E+1	5.438450E-1	1.000000E+4	5.948510E+1
3.103100E-4	-1.447950E-4	2.503000E+1	5.436000E-1	1.260000E+4	5.948090E+1
3.051950E-4	-1.817025E-4	3.075000E+1	5.432000E-1	1.580000E+4	5.947960E+1
2.830825E-4	-2.128475E-4	3.693000E+1	5.426000E-1	1.990000E+4	5.948490E+1
2.682500E-4	-2.257200E-4	4.002000E+1	5.423000E-1	2.200000E+4	5.948680E+1
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
 65.0000	 65.0066	 64.8539	105.7580	  2.6440	  5.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.304875E-4	4.152500E-6	-7.000000E-1	5.443900E-1	6.310000E+0	6.484480E+1
3.258425E-4	7.575000E-7	-3.500000E-1	5.499350E-1	7.940000E+0	6.485580E+1
3.260675E-4	-5.480000E-6	7.700000E-1	5.520150E-1	1.000000E+1	6.485230E+1
3.233275E-4	6.775000E-7	7.000000E-2	5.527650E-1	1.260000E+1	6.485480E+1
3.229450E-4	-2.842500E-6	1.090000E+0	5.529000E-1	1.580000E+1	6.485000E+1
3.279350E-4	-4.857500E-6	1.280000E+0	5.529850E-1	1.990000E+1	6.485190E+1
3.233400E-4	-3.975000E-7	1.500000E-1	5.530000E-1	2.510000E+1	6.485110E+1
3.238625E-4	-1.842500E-6	-7.000000E-2	5.530000E-1	3.160000E+1	6.485250E+1
3.226500E-4	-1.030000E-6	1.700000E-1	5.530000E-1	3.980000E+1	6.485110E+1
3.220300E-4	7.155000E-6	-9.010000E+0	5.530700E-1	5.010000E+1	6.484970E+1
3.221325E-4	-1.015000E-6	2.200000E-1	5.530000E-1	6.310000E+1	6.485460E+1
3.222325E-4	-1.395000E-6	2.600000E-1	5.530000E-1	7.940000E+1	6.484970E+1
3.235375E-4	-4.052500E-6	-6.500000E-1	5.529050E-1	1.000000E+2	6.484830E+1
3.218675E-4	-1.705000E-6	2.600000E-1	5.530000E-1	1.260000E+2	6.485400E+1
3.219050E-4	-2.120000E-6	3.400000E-1	5.530000E-1	1.580000E+2	6.485630E+1
3.216675E-4	-2.480000E-6	4.900000E-1	5.530800E-1	1.990000E+2	6.484950E+1
3.216250E-4	-2.947500E-6	5.700000E-1	5.530550E-1	2.510000E+2	6.484890E+1
3.214700E-4	-3.585000E-6	6.300000E-1	5.531000E-1	3.160000E+2	6.484730E+1
3.214025E-4	-4.467500E-6	8.100000E-1	5.531000E-1	3.980000E+2	6.485490E+1
3.215525E-4	-5.465000E-6	9.700000E-1	5.531650E-1	5.010000E+2	6.484740E+1
3.214275E-4	-6.672500E-6	1.200000E+0	5.532000E-1	6.310000E+2	6.485040E+1
3.212850E-4	-8.212500E-6	1.440000E+0	5.532600E-1	7.940000E+2	6.485260E+1
3.213250E-4	-9.907500E-6	1.650000E+0	5.533000E-1	1.000000E+3	6.485020E+1
3.210450E-4	-1.300250E-5	2.270000E+0	5.533250E-1	1.260000E+3	6.485240E+1
3.204850E-4	-1.562250E-5	2.640000E+0	5.534000E-1	1.580000E+3	6.485250E+1
3.198300E-4	-1.964750E-5	3.510000E+0	5.534000E-1	1.990000E+3	6.485340E+1
3.206100E-4	-2.769750E-5	4.920000E+0	5.534000E-1	2.510000E+3	6.484910E+1
3.188050E-4	-3.347250E-5	6.000000E+0	5.535000E-1	3.160000E+3	6.485030E+1
3.190675E-4	-4.148500E-5	7.500000E+0	5.534000E-1	3.980000E+3	6.485120E+1
3.203025E-4	-5.233000E-5	9.230000E+0	5.534000E-1	5.010000E+3	6.485190E+1
3.207100E-4	-6.732750E-5	1.183000E+1	5.533000E-1	6.310000E+3	6.485220E+1
3.191125E-4	-8.789500E-5	1.539000E+1	5.532000E-1	7.940000E+3	6.485270E+1
3.090800E-4	-1.114375E-4	1.976000E+1	5.530150E-1	1.000000E+4	6.484760E+1
2.981625E-4	-1.278625E-4	2.326000E+1	5.528000E-1	1.260000E+4	6.485410E+1
2.906500E-4	-1.728800E-4	3.074000E+1	5.523000E-1	1.580000E+4	6.484780E+1
2.715300E-4	-2.027925E-4	3.674000E+1	5.518000E-1	1.990000E+4	6.485200E+1
2.573975E-4	-2.162500E-4	3.995000E+1	5.514150E-1	2.200000E+4	6.485210E+1
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
 70.0000	 70.0005	 70.0444	107.6520	  2.6913	  5.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.192600E-4	2.602500E-6	-4.400000E-1	5.524850E-1	6.310000E+0	7.004030E+1
3.138375E-4	9.950000E-7	-1.000000E-1	5.581900E-1	7.940000E+0	7.004600E+1
3.148325E-4	6.572500E-6	-1.000000E+0	5.604300E-1	1.000000E+1	7.004560E+1
3.105000E-4	4.250000E-7	-1.100000E-1	5.615350E-1	1.260000E+1	7.004210E+1
3.089275E-4	-1.152500E-6	1.530000E+0	5.617200E-1	1.580000E+1	7.004760E+1
3.102575E-4	-4.400000E-7	7.000000E-2	5.617550E-1	1.990000E+1	7.004380E+1
3.101925E-4	-7.725000E-7	1.600000E-1	5.617000E-1	2.510000E+1	7.004480E+1
3.092550E-4	-1.682500E-6	1.800000E-1	5.617350E-1	3.160000E+1	7.004530E+1
3.093775E-4	-9.575000E-7	2.300000E-1	5.617550E-1	3.980000E+1	7.004110E+1
3.101450E-4	-3.135000E-6	-9.360000E+0	5.625500E-1	5.010000E+1	7.004070E+1
3.088700E-4	-1.367500E-6	2.400000E-1	5.617000E-1	6.310000E+1	7.004920E+1
3.087975E-4	-1.425000E-6	1.700000E-1	5.617750E-1	7.940000E+1	7.004670E+1
3.149450E-4	1.285000E-6	1.090000E+0	5.612300E-1	1.000000E+2	7.004250E+1
3.085825E-4	-1.885000E-6	3.200000E-1	5.617000E-1	1.260000E+2	7.004490E+1
3.083475E-4	-2.200000E-6	4.400000E-1	5.617000E-1	1.580000E+2	7.004510E+1
3.083925E-4	-2.337500E-6	4.400000E-1	5.617650E-1	1.990000E+2	7.004300E+1
3.079650E-4	-3.107500E-6	4.900000E-1	5.618000E-1	2.510000E+2	7.004990E+1
3.081500E-4	-3.605000E-6	7.000000E-1	5.618000E-1	3.160000E+2	7.004600E+1
3.079925E-4	-4.435000E-6	8.300000E-1	5.618650E-1	3.980000E+2	7.004910E+1
3.079975E-4	-5.380000E-6	9.800000E-1	5.618900E-1	5.010000E+2	7.005010E+1
3.077275E-4	-6.545000E-6	1.210000E+0	5.619000E-1	6.310000E+2	7.004520E+1
3.077250E-4	-7.895000E-6	1.410000E+0	5.620000E-1	7.940000E+2	7.004250E+1
3.077150E-4	-9.740000E-6	1.770000E+0	5.620000E-1	1.000000E+3	7.004280E+1
3.073075E-4	-1.219000E-5	2.290000E+0	5.620600E-1	1.260000E+3	7.004310E+1
3.071000E-4	-1.508500E-5	2.720000E+0	5.621000E-1	1.580000E+3	7.004810E+1
3.063500E-4	-1.892500E-5	3.550000E+0	5.621000E-1	1.990000E+3	7.004310E+1
3.070825E-4	-2.646750E-5	4.950000E+0	5.621650E-1	2.510000E+3	7.004610E+1
3.053825E-4	-3.215250E-5	6.040000E+0	5.622000E-1	3.160000E+3	7.004390E+1
3.055525E-4	-3.993750E-5	7.470000E+0	5.621000E-1	3.980000E+3	7.004360E+1
3.070275E-4	-5.001000E-5	9.270000E+0	5.621000E-1	5.010000E+3	7.004020E+1
3.074950E-4	-6.458250E-5	1.180000E+1	5.620000E-1	6.310000E+3	7.004470E+1
3.062800E-4	-8.487750E-5	1.544000E+1	5.619000E-1	7.940000E+3	7.004070E+1
2.981475E-4	-1.095600E-4	2.021000E+1	5.617700E-1	1.000000E+4	7.004620E+1
2.820750E-4	-1.324650E-4	2.512000E+1	5.614000E-1	1.260000E+4	7.003980E+1
2.785275E-4	-1.648775E-4	3.062000E+1	5.610000E-1	1.580000E+4	7.004240E+1
2.597525E-4	-1.934800E-4	3.671000E+1	5.604000E-1	1.990000E+4	7.004390E+1
2.544325E-4	-2.045725E-4	3.878000E+1	5.601000E-1	2.200000E+4	7.004480E+1
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
 75.0000	 75.0047	 75.1010	109.4240	  2.7356	  5.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.080800E-4	1.682500E-6	-3.200000E-1	5.599700E-1	6.310000E+0	7.510440E+1
3.035925E-4	4.650000E-7	-7.000000E-2	5.657900E-1	7.940000E+0	7.510300E+1
2.945450E-4	3.285000E-6	-4.100000E-1	5.683300E-1	1.000000E+1	7.510520E+1
2.988925E-4	-6.475000E-7	1.000000E-1	5.697000E-1	1.260000E+1	7.510580E+1
2.989350E-4	1.122500E-6	-2.020000E+0	5.699850E-1	1.580000E+1	7.510410E+1
3.049500E-4	1.637500E-6	9.600000E-1	5.700000E-1	1.990000E+1	7.510290E+1
2.986375E-4	-1.320000E-6	4.400000E-1	5.699750E-1	2.510000E+1	7.510320E+1
2.987350E-4	-1.290000E-6	4.000000E-2	5.700000E-1	3.160000E+1	7.510020E+1
2.978250E-4	-1.165000E-6	3.000000E-1	5.700000E-1	3.980000E+1	7.510500E+1
3.037420E-4	-2.617000E-6	1.999000E+1	5.694950E-1	5.010000E+1	7.510130E+1
2.976400E-4	-1.507500E-6	2.100000E-1	5.700000E-1	6.310000E+1	7.510400E+1
2.976300E-4	-1.585000E-6	2.900000E-1	5.700000E-1	7.940000E+1	7.509850E+1
2.939175E-4	-4.445000E-6	1.060000E+0	5.696900E-1	1.000000E+2	7.510200E+1
2.971300E-4	-1.980000E-6	4.100000E-1	5.700000E-1	1.260000E+2	7.510350E+1
2.970750E-4	-2.405000E-6	4.900000E-1	5.700000E-1	1.580000E+2	7.510260E+1
2.968000E-4	-2.582500E-6	5.200000E-1	5.700000E-1	1.990000E+2	7.510220E+1
2.967925E-4	-3.242500E-6	6.300000E-1	5.700050E-1	2.510000E+2	7.510430E+1
2.966500E-4	-3.595000E-6	7.300000E-1	5.700850E-1	3.160000E+2	7.510210E+1
2.965150E-4	-4.345000E-6	8.600000E-1	5.701000E-1	3.980000E+2	7.510430E+1
2.964725E-4	-5.340000E-6	1.100000E+0	5.701250E-1	5.010000E+2	7.510200E+1
2.963400E-4	-6.427500E-6	1.260000E+0	5.702000E-1	6.310000E+2	7.510080E+1
2.962625E-4	-7.735000E-6	1.510000E+0	5.702000E-1	7.940000E+2	7.509660E+1
2.960075E-4	-9.477500E-6	1.850000E+0	5.703000E-1	1.000000E+3	7.510180E+1
2.958625E-4	-1.176000E-5	2.260000E+0	5.703000E-1	1.260000E+3	7.509910E+1
2.957375E-4	-1.521500E-5	2.870000E+0	5.703400E-1	1.580000E+3	7.510110E+1
2.947475E-4	-1.837500E-5	3.540000E+0	5.703000E-1	1.990000E+3	7.509540E+1
2.957450E-4	-2.576750E-5	4.930000E+0	5.703600E-1	2.510000E+3	7.510520E+1
2.941200E-4	-3.118250E-5	6.010000E+0	5.704000E-1	3.160000E+3	7.510290E+1
