*** szafir SiO2 20 mkm 15-04-2019	*START	Date: 2019-04-15	Time: 13:31:42
Current for R :2.000mA	Current 3-Omega25.000 mA		

Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
200.0000	200.0044	202.6025	 19.3302	 12.0814	 25.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
1.470420E-4	-1.663400E-5	6.440000E+0	5.095000E-1	2.510000E+1	2.172637E+2
1.450060E-4	-1.592200E-5	6.270000E+0	5.096000E-1	3.160000E+1	2.172638E+2
1.430900E-4	-1.537200E-5	6.130000E+0	5.096100E-1	3.980000E+1	2.172645E+2
1.400760E-4	-1.601400E-5	7.030000E+0	5.105200E-1	5.010000E+1	2.172659E+2
1.395140E-4	-1.505800E-5	6.160000E+0	5.096000E-1	6.310000E+1	2.172508E+2
1.375140E-4	-1.508600E-5	6.270000E+0	5.096000E-1	7.940000E+1	2.172673E+2
1.355660E-4	-1.528200E-5	6.460000E+0	5.096000E-1	1.000000E+2	2.172608E+2
1.333100E-4	-1.559200E-5	6.650000E+0	5.096000E-1	1.260000E+2	2.172656E+2
1.311360E-4	-1.587000E-5	6.900000E+0	5.096000E-1	1.580000E+2	2.172582E+2
1.287360E-4	-1.611000E-5	7.170000E+0	5.096000E-1	1.990000E+2	2.172598E+2
1.263320E-4	-1.634400E-5	7.370000E+0	5.096000E-1	2.510000E+2	2.172626E+2
1.240660E-4	-1.656400E-5	7.640000E+0	5.096000E-1	3.160000E+2	2.172569E+2
1.218680E-4	-1.681400E-5	7.840000E+0	5.096000E-1	3.980000E+2	2.172509E+2
1.195340E-4	-1.707400E-5	8.100000E+0	5.096000E-1	5.010000E+2	2.172611E+2
1.172060E-4	-1.744200E-5	8.520000E+0	5.096000E-1	6.310000E+2	2.172544E+2
1.150080E-4	-1.812200E-5	8.970000E+0	5.096000E-1	7.940000E+2	2.172535E+2
1.127200E-4	-1.865400E-5	9.300000E+0	5.096000E-1	1.000000E+3	2.172757E+2
1.104800E-4	-1.937600E-5	9.980000E+0	5.096000E-1	1.260000E+3	2.172571E+2
1.083380E-4	-2.060800E-5	1.081000E+1	5.096000E-1	1.580000E+3	2.172670E+2
1.055700E-4	-2.209800E-5	1.180000E+1	5.096000E-1	1.990000E+3	2.172635E+2
1.021960E-4	-2.347800E-5	1.298000E+1	5.096000E-1	2.510000E+3	2.172606E+2
9.925800E-5	-2.525400E-5	1.430000E+1	5.096000E-1	3.160000E+3	2.172525E+2
1.000960E-4	-2.761000E-5	1.542000E+1	5.095000E-1	3.980000E+3	2.172630E+2
9.905400E-5	-3.169400E-5	1.766000E+1	5.095000E-1	5.010000E+3	2.172592E+2
9.598400E-5	-3.826200E-5	2.173000E+1	5.094000E-1	6.310000E+3	2.172567E+2
8.980800E-5	-4.472000E-5	2.650000E+1	5.094000E-1	7.940000E+3	2.172488E+2
8.535200E-5	-4.622400E-5	2.840000E+1	5.093300E-1	1.000000E+4	2.172571E+2
7.554200E-5	-5.442000E-5	3.580000E+1	5.092000E-1	1.260000E+4	2.172484E+2
8.121200E-5	-6.213000E-5	3.739000E+1	5.090000E-1	1.580000E+4	2.172523E+2
7.652200E-5	-7.460400E-5	4.439000E+1	5.088000E-1	1.990000E+4	2.172545E+2
7.414200E-5	-8.190200E-5	4.782000E+1	5.086000E-1	2.200000E+4	2.172626E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
220.0000	219.9877	222.0397	 20.1060	 12.5663	 25.0000
					
