*** Si_SiO2 - 22_02_2022	*START	Date: 2024-02-22	Time: 14:53:13
Current for R :1.000mA	Current 3-Omega30.000 mA		
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
2.091850E-4	-2.674000E-5	7.420000E+0	8.115000E-1	1.000000E+3	2.683521E+2
2.059700E-4	-2.864000E-5	7.920000E+0	8.115000E-1	1.260000E+3	2.683378E+2
2.023600E-4	-3.089500E-5	8.720000E+0	8.115200E-1	1.580000E+3	2.683477E+2
1.983150E-4	-3.312500E-5	9.500000E+0	8.115000E-1	1.990000E+3	2.683586E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
280.0000	279.9415	278.1968	 27.9515	 25.1563	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.101750E-4	-4.238500E-5	7.780000E+0	8.333000E-1	6.310000E+0	2.780268E+2
3.027650E-4	-4.197500E-5	7.900000E+0	8.332000E-1	7.940000E+0	2.779164E+2
3.005400E-4	-4.141500E-5	7.290000E+0	8.335000E-1	1.000000E+1	2.779374E+2
2.894850E-4	-3.975500E-5	7.820000E+0	8.341500E-1	1.260000E+1	2.782285E+2
2.831600E-4	-3.823500E-5	7.690000E+0	8.341900E-1	1.580000E+1	2.782517E+2
2.772500E-4	-3.638500E-5	7.460000E+0	8.340400E-1	1.990000E+1	2.782287E+2
2.716850E-4	-3.444500E-5	7.250000E+0	8.339000E-1	2.510000E+1	2.781874E+2
2.666200E-4	-3.256500E-5	6.970000E+0	8.338000E-1	3.160000E+1	2.781273E+2
2.621300E-4	-3.055000E-5	6.650000E+0	8.338200E-1	3.980000E+1	2.781380E+2
2.586200E-4	-2.662000E-5	5.800000E+0	8.354100E-1	5.010000E+1	2.781648E+2
2.542550E-4	-2.703500E-5	6.070000E+0	8.339000E-1	6.310000E+1	2.782090E+2
2.508700E-4	-2.558000E-5	5.840000E+0	8.338600E-1	7.940000E+1	2.781767E+2
2.482200E-4	-2.460500E-5	5.650000E+0	8.338000E-1	1.000000E+2	2.781839E+2
2.447850E-4	-2.363000E-5	5.530000E+0	8.338000E-1	1.260000E+2	2.781928E+2
2.420900E-4	-2.318500E-5	5.470000E+0	8.338000E-1	1.580000E+2	2.781913E+2
2.393950E-4	-2.290500E-5	5.490000E+0	8.338500E-1	1.990000E+2	2.781915E+2
2.367200E-4	-2.316000E-5	5.600000E+0	8.339000E-1	2.510000E+2	2.782005E+2
2.336400E-4	-2.365500E-5	5.780000E+0	8.339000E-1	3.160000E+2	2.781740E+2
2.307200E-4	-2.447000E-5	6.090000E+0	8.339000E-1	3.980000E+2	2.781994E+2
2.276100E-4	-2.531000E-5	6.360000E+0	8.339000E-1	5.010000E+2	2.782130E+2
2.240850E-4	-2.634000E-5	6.710000E+0	8.339000E-1	6.310000E+2	2.782077E+2
2.207150E-4	-2.745500E-5	7.100000E+0	8.339000E-1	7.940000E+2	2.782008E+2
2.172450E-4	-2.887000E-5	7.400000E+0	8.339300E-1	1.000000E+3	2.782082E+2
2.138850E-4	-3.065000E-5	8.180000E+0	8.339000E-1	1.260000E+3	2.782223E+2
2.098900E-4	-3.303000E-5	8.930000E+0	8.339000E-1	1.580000E+3	2.782204E+2
2.054150E-4	-3.532000E-5	9.770000E+0	8.339000E-1	1.990000E+3	2.782137E+2
					
Tsp[K]  	Tc[K]   	Ts[K]    	Rs[om]  	Po[mW]    	 Io[mA]
290.0000	289.9453	288.1829	 28.6850	 25.8165	 30.0000
					
U3x[V]  	U3y[V]  	Phase[deg]	|U1|[V]  	F[Hz]    	Ts[K]  
3.227650E-4	-4.521000E-5	7.950000E+0	8.552600E-1	6.310000E+0	2.880184E+2
3.149250E-4	-4.438000E-5	8.010000E+0	8.552000E-1	7.940000E+0	2.879227E+2
3.104850E-4	-3.800000E-5	6.960000E+0	8.555000E-1	1.000000E+1	2.879310E+2
3.011450E-4	-4.199500E-5	7.940000E+0	8.561000E-1	1.260000E+1	2.881910E+2
